Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2026-08-22 14:09:49.603,0 days 00:23:13.839000,,298.4855555555556,0 days 00:00:00,10464.0499072,303.34499968,8,100.0,False,0,interpolation,0.0018756254579422186,4.425968407417605e-07,OnTrack,529.8968651991976,3831.287381043665,537.0001555550557
2026-08-22 14:09:49.734,0 days 00:23:13.970000,,298.4855555555556,0 days 00:00:00.131000,10654.0,304.0,8,100.0,False,0,car,11.081388888888892,0.0026149078391322694,OnTrack,556.4721846892679,3896.1742274789103,537.0001549445451
2026-08-22 14:09:49.858,0 days 00:23:14.094000,,298.4855555555556,0 days 00:00:00.255000,10593.1626256,305.1624976,8,100.0,False,0,pos,21.62730939537973,0.005103459633478121,OnTrack,589.0,3976.0,537.0
2026-08-22 14:09:50.038,0 days 00:23:14.274000,,298.4855555555556,0 days 00:00:00.435000,10504.85,306.85,8,100.0,False,0,pos,37.00283117213984,0.008731666605359808,OnTrack,647.0,4118.0,537.0
2026-08-22 14:09:50.054,0 days 00:23:14.290000,27,298.4855555555556,0 days 00:00:00.451000,10497.0,307.0,8,100.0,False,0,car,38.37027777777778,0.009054346991774438,OnTrack,652.2971584009189,4130.73870886741,537.0001314462401
2026-08-22 14:09:50.138,0 days 00:23:14.374000,27,293.39890439111116,0 days 00:00:00.535000,10497.0,307.41999872,8,100.0,False,0,pos,45.550799129523384,0.010748755676462237,OnTrack,680.0,4197.0,537.0
2026-08-22 14:09:50.254,0 days 00:23:14.490000,27,286.37444444444446,0 days 00:00:00.651000,10497.0,308.0,8,100.0,False,0,car,55.48138888888889,0.013092106069571237,OnTrack,717.8674955190579,4289.360830324498,536.9899602725977
2026-08-22 14:09:50.458,0 days 00:23:14.694000,27,273.7377936355556,0 days 00:00:00.855000,10639.7998208,308.92727156363634,8,100.0,False,0,pos,73.02530848831135,0.017231996235833234,OnTrack,783.0,4451.0,537.0
2026-08-22 14:09:50.658,0 days 00:23:14.894000,27,261.34890474666673,0 days 00:00:01.055000,10779.7998208,309.8363624727273,8,100.0,False,0,pos,90.26958108159488,0.021301177819156598,OnTrack,848.0,4610.0,537.0
2026-08-22 14:09:50.694,0 days 00:23:14.930000,27,259.11888888888893,0 days 00:00:01.091000,10805.0,310.0,8,100.0,False,0,car,93.37027777777777,0.02203285831326415,OnTrack,861.8378399169152,4643.638739837843,536.9143844648256
2026-08-22 14:09:50.918,0 days 00:23:15.154000,27,245.11888888888888,0 days 00:00:01.315000,10783.533333333333,310.0,8,100.0,False,0,pos,112.65662065378429,0.026583913210834746,OnTrack,953.0,4865.0,536.0
2026-08-22 14:09:50.934,0 days 00:23:15.170000,27,244.11888888888888,0 days 00:00:01.331000,10782.0,310.0,8,100.0,False,0,car,114.03694444444444,0.026909632264369376,OnTrack,958.1089469710151,4877.483745035352,535.9579939735949
2026-08-22 14:09:51.134,0 days 00:23:15.370000,27,231.5077777777778,0 days 00:00:01.531000,10763.0,311.0,8,100.0,False,0,car,131.31472222222223,0.030986720164352513,OnTrack,1006.342816236364,4996.402179758999,535.8840538595817
