Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2026-08-22 14:57:21.944,0 days 01:10:46.180000,,2163.635,0 days 00:00:00,10889.5,311.0,8,99.16666666666667,False,0,interpolation,-0.00833835908421845,-1.9667997717256557e-06,OnTrack,511.6715606914449,3788.361970929325,537.0001470964887
2026-08-22 14:57:22.100,0 days 01:10:46.336000,,2163.635,0 days 00:00:00.156000,10918.75,311.0,8,99.81666666666666,False,0,pos,13.467658929258121,0.003176666804608844,OnTrack,563.0,3913.0,537.0
2026-08-22 14:57:22.144,0 days 01:10:46.380000,,2163.635,0 days 00:00:00.200000,10927.0,311.0,8,100.0,False,0,car,17.277777777777775,0.004075373709148309,OnTrack,577.6213522206932,3948.0915299158623,536.999901491054
2026-08-22 14:57:22.280,0 days 01:10:46.516000,,2163.635,0 days 00:00:00.336000,10941.733333333334,311.75555555555553,8,99.62222222222222,False,0,pos,29.080078037274653,0.006859226170018087,OnTrack,623.0,4057.0,537.0
2026-08-22 14:57:22.500,0 days 01:10:46.736000,,2163.635,0 days 00:00:00.556000,10965.566666666668,312.97777777777776,8,99.0111111111111,False,0,pos,48.22935369732158,0.011376037045694612,OnTrack,695.0,4235.0,537.0
2026-08-22 14:57:22.504,0 days 01:10:46.740000,30,2163.635,0 days 00:00:00.560000,10966.0,313.0,8,99.0,False,0,car,48.57777777777778,0.011458221129515375,OnTrack,696.2610776472704,4238.111867095757,536.9997854616739
2026-08-22 14:57:22.820,0 days 01:10:47.056000,30,2144.938333333333,0 days 00:00:00.876000,11011.425,313.9875,8,99.9875,False,0,pos,76.13927891916373,0.017959254918752606,OnTrack,801.0,4494.0,537.0
2026-08-22 14:57:22.824,0 days 01:10:47.060000,30,2144.7016666666664,0 days 00:00:00.880000,11012.0,314.0,8,100.0,False,0,car,76.48888888888888,0.018041718722686145,OnTrack,802.6931947127247,4498.14969727296,537.0015189405973
2026-08-22 14:57:23.023,0 days 01:10:47.259000,30,2132.7616666666663,0 days 00:00:01.079000,10993.0,315.0,8,100.0,False,0,car,93.90138888888887,0.02214886986348939,OnTrack,893.6969759159795,4721.5977579783475,537.0280902318636
2026-08-22 14:57:23.040,0 days 01:10:47.276000,30,2131.7227816888885,0 days 00:00:01.096000,10993.29749888,315.0,8,100.0,False,0,pos,95.38909327609538,0.022499780230817067,OnTrack,900.0,4737.0,537.0
2026-08-22 14:57:23.320,0 days 01:10:47.556000,30,2114.6116705777777,0 days 00:00:01.376000,10998.19749888,315.0,8,100.0,False,0,pos,119.88534156520399,0.028277801428577977,OnTrack,967.0,4899.0,536.0
