Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2026-08-21 14:57:05.761,0 days 00:40:43.376000,,2285.7997222222207,0 days 00:00:00,11293.92,308.03999999999996,7,100.0,False,0,interpolation,0.3177256258667709,7.471975512984987e-05,OnTrack,518.6877214331291,3802.519827037031,536.9999666499566
2026-08-21 14:57:05.828,0 days 00:40:43.443000,,2285.7997222222207,0 days 00:00:00.067000,11317.70502272,308.71000064,7,100.0,False,0,pos,6.081232281506297,0.0014301276005745137,OnTrack,543.0,3862.0,537.0
2026-08-21 14:57:05.857,0 days 00:40:43.472000,,2285.7997222222207,0 days 00:00:00.096000,11328.0,309.0,7,100.0,False,0,car,8.57777777777778,0.002017241931195588,OnTrack,554.7504342490959,3890.7928856865988,537.0000190116077
2026-08-21 14:57:06.068,0 days 00:40:43.683000,,2285.7997222222207,0 days 00:00:00.307000,11364.9250112,310.1722225777778,7,100.0,False,0,pos,26.777462720849098,0.006297274423623204,OnTrack,647.0,4117.0,537.0
2026-08-21 14:57:06.217,0 days 00:40:43.832000,63,2285.7997222222207,0 days 00:00:00.456000,11391.0,311.0,7,100.0,False,0,car,39.67777777777778,0.009331050435621041,OnTrack,683.8659191809568,4206.311268583463,536.9992888212907
2026-08-21 14:57:06.348,0 days 00:40:43.963000,63,2279.213330115554,0 days 00:00:00.587000,11405.035721142856,311.93571474285716,7,100.0,False,0,pos,51.058682021937514,0.012007505556167255,OnTrack,713.0,4277.0,537.0
2026-08-21 14:57:06.497,0 days 00:40:44.112000,63,2271.721944444443,0 days 00:00:00.736000,11421.0,313.0,7,100.0,False,0,car,64.02222222222221,0.015056150268845821,OnTrack,761.4491128140178,4396.102742498192,537.0018368371035
2026-08-21 14:57:06.528,0 days 00:40:44.143000,63,2270.19777463111,0 days 00:00:00.767000,11423.1312544,313.0,7,100.0,False,0,pos,66.71803566586541,0.015690126580436246,OnTrack,772.0,4422.0,537.0
2026-08-21 14:57:06.657,0 days 00:40:44.272000,63,2263.8552777777763,0 days 00:00:00.896000,11432.0,313.0,7,100.0,False,0,car,77.93333333333332,0.01832763588783141,OnTrack,814.7847908888784,4526.536270177393,536.9801663077595
2026-08-21 14:57:06.768,0 days 00:40:44.383000,63,2258.6752747911096,0 days 00:00:01.007000,11422.66590370909,313.0,7,100.0,False,0,pos,87.58572802425388,0.02059759622154607,OnTrack,851.0,4615.0,537.0
2026-08-21 14:57:06.948,0 days 00:40:44.563000,63,2250.27527479111,0 days 00:00:01.187000,11407.529540072726,313.0,7,100.0,False,0,pos,103.24140881095803,0.02427935349744212,OnTrack,910.0,4760.0,537.0
2026-08-21 14:57:07.097,0 days 00:40:44.712000,63,2243.3219444444435,0 days 00:00:01.336000,11395.0,313.0,7,100.0,False,0,car,116.18888888888888,0.027324221340041786,OnTrack,959.0020869084024,4880.61983143538,536.2087099029413
2026-08-21 14:57:07.168,0 days 00:40:44.783000,63,2240.1466638044435,0 days 00:00:01.407000,11387.60416,312.7041664,7,100.0,False,0,pos,122.3533433133612,0.02877392034952245,OnTrack,982.0,4937.0,536.0
2026-08-21 14:57:07.337,0 days 00:40:44.952000,63,2232.58861111111,0 days 00:00:01.576000,11370.0,312.0,7,100.0,False,0,car,136.98888888888888,0.03221577172242279,OnTrack,1035.592273436459,5067.529031055923,536.6248942279694
2026-08-21 14:57:07.427,0 days 00:40:45.042000,63,2228.4386052088876,0 days 00:00:01.666000,11355.59997952,311.09999872,7,100.0,False,0,pos,144.73828959908755,0.03403820364584567,OnTrack,1067.0,5145.0,537.0
2026-08-21 14:57:07.537,0 days 00:40:45.152000,63,2223.3663888888877,0 days 00:00:01.776000,11338.0,310.0,7,100.0,False,0,car,154.2111111111111,0.036265933630911344,OnTrack,1110.298934166113,5253.492150214213,537.1218458095136
2026-08-21 14:57:07.727,0 days 00:40:45.342000,63,2214.077493742221,0 days 00:00:01.966000,11289.3124672,309.4062496,7,100.0,False,0,pos,170.70220855212125,0.040144156419058254,OnTrack,1181.0,5435.0,537.0
2026-08-21 14:57:07.857,0 days 00:40:45.472000,63,2207.721944444443,0 days 00:00:02.096000,11256.0,309.0,7,100.0,False,0,car,181.67777777777778,0.042725288623029864,OnTrack,1208.3926738562175,5510.301953056422,537.2519488475185
2026-08-21 14:57:08.007,0 days 00:40:45.622000,63,2201.305272302221,0 days 00:00:02.246000,10928.8122208,298.0624906666667,7,68.74997333333333,False,0,pos,193.72736760219775,0.04555899899385562,OnTrack,1239.0,5611.0,538.0
2026-08-21 14:57:08.227,0 days 00:40:45.842000,63,2191.89416119111,0 days 00:00:02.466000,10448.9372208,282.020824,7,22.91664,False,0,pos,210.29482024994832,0.04945517828876829,OnTrack,1314.0,5877.0,540.0
2026-08-21 14:57:08.337,0 days 00:40:45.952000,63,2187.18861111111,0 days 00:00:02.576000,10209.0,274.0,7,0.0,True,0,car,218.2111111111111,0.05131685788439138,OnTrack,1335.558517288281,5955.306830843894,541.0183773680985
2026-08-21 14:57:08.537,0 days 00:40:46.152000,63,2179.799722222221,0 days 00:00:02.776000,9944.0,249.0,7,0.0,True,0,car,232.04444444444442,0.054570052449596694,OnTrack,1351.663196566659,6015.960159274161,542.7512149768731
2026-08-21 14:57:08.567,0 days 00:40:46.182000,63,2178.7747178488876,0 days 00:00:02.806000,10076.90056704,246.89999104,7,0.0,True,0,pos,234.07107182629542,0.05504665581231964,OnTrack,1355.0,6028.0,543.0
2026-08-21 14:57:08.737,0 days 00:40:46.352000,63,2172.9663888888876,0 days 00:00:02.976000,10830.0,235.0,7,0.0,True,0,car,245.1,0.05764033647699931,OnTrack,1380.6701655265579,6118.385856177634,544.3561951573143
2026-08-21 14:57:08.897,0 days 00:40:46.512000,63,2168.7886111111097,0 days 00:00:03.136000,10556.0,204.0,7,0.0,True,0,car,254.16666666666666,0.05977255074624231,OnTrack,1411.6564680860688,6220.69999259259,545.5299447617704
2026-08-21 14:57:08.967,0 days 00:40:46.582000,63,2167.0969413511098,0 days 00:00:03.206000,10880.6255936,200.0624928,7,0.0,True,0,pos,258.018244291847,0.060678328919570264,OnTrack,1425.0,6260.0,546.0
2026-08-21 14:57:09.057,0 days 00:40:46.672000,63,2164.921944444443,0 days 00:00:03.296000,11298.0,195.0,7,0.0,True,0,car,262.8333333333333,0.061810696738901064,OnTrack,1441.8916952135546,6305.309489611726,546.5654829264003
2026-08-21 14:57:09.127,0 days 00:40:46.742000,63,2163.560830844443,0 days 00:00:03.366000,11029.999509942858,189.49998994285716,7,0.0,True,0,pos,266.3716475418716,0.06264280453792798,OnTrack,1455.0,6338.0,547.0
2026-08-21 14:57:09.307,0 days 00:40:46.922000,63,2160.060830844443,0 days 00:00:03.546000,10340.8566528,175.3571328,7,0.0,True,0,pos,274.87784566907584,0.06464321303320368,OnTrack,1491.0,6418.0,548.0
2026-08-21 14:57:09.337,0 days 00:40:46.952000,63,2159.4774999999986,0 days 00:00:03.576000,10226.0,173.0,4,0.0,True,0,car,276.2888888888889,0.06497504904288794,OnTrack,1498.1879483114478,6431.365067566072,548.0667789362257
2026-08-21 14:57:09.497,0 days 00:40:47.112000,63,2156.5886111111095,0 days 00:00:03.736000,11206.0,168.0,4,0.0,True,0,car,283.7555555555556,0.06673099020579394,OnTrack,1541.1973717400704,6501.144509978923,547.9689667474353
2026-08-21 14:57:09.547,0 days 00:40:47.162000,63,2155.8663870399982,0 days 00:00:03.786000,11183.4999424,164.2499904,4,0.0,True,0,pos,285.9642158476352,0.06725040237388392,OnTrack,1553.0,6519.0,548.0
2026-08-21 14:57:09.697,0 days 00:40:47.312000,63,2153.6997222222208,0 days 00:00:03.936000,11116.0,153.0,3,0.0,True,0,car,292.2555555555556,0.06872994108320926,OnTrack,1580.0771049963519,6557.4002879569025,548.5182509450539
2026-08-21 14:57:09.827,0 days 00:40:47.442000,63,2152.0747206222204,0 days 00:00:04.066000,10768.713943771429,148.82142445714285,3,0.0,True,0,pos,297.55927670700356,0.06997722085370962,OnTrack,1612.0,6587.0,549.0
2026-08-21 14:57:09.977,0 days 00:40:47.592000,63,2150.1997222222203,0 days 00:00:04.216000,10368.0,144.0,3,0.0,True,0,car,303.4555555555556,0.07136385282756826,OnTrack,1677.451259750557,6631.862476839918,549.102506529033
2026-08-21 14:57:10.127,0 days 00:40:47.742000,63,2148.8247212694387,0 days 00:00:04.366000,9945.819256329743,138.36089834812657,3,0.0,True,0,pos,309.0139575591339,0.0726710260701659,OnTrack,1745.0,6672.0,549.0
2026-08-21 14:57:10.376,0 days 00:40:47.991000,63,2146.5422222222205,0 days 00:00:04.615000,9245.0,129.0,3,0.0,True,0,car,317.7530555555556,0.07472620578872656,OnTrack,1802.0081760989792,6694.068088134393,548.9893643085412
2026-08-21 14:57:10.507,0 days 00:40:48.122000,63,2145.486943928887,0 days 00:00:04.746000,9086.708256,126.270832,3,0.0,True,0,pos,322.291935765583,0.07579361738617564,OnTrack,1832.0,6697.0,549.0
2026-08-21 14:57:10.616,0 days 00:40:48.231000,63,2144.6088888888867,0 days 00:00:04.855000,8955.0,124.0,3,0.0,False,0,car,326.01972222222224,0.07667028350480105,OnTrack,1866.445931147341,6699.569384530419,548.9954891181882
2026-08-21 14:57:10.767,0 days 00:40:48.382000,63,2143.6022217955538,0 days 00:00:05.006000,8765.3061696,121.640624,3,0.0,False,0,pos,331.08215383289314,0.07786081904715465,OnTrack,1920.0,6701.0,549.0
2026-08-21 14:57:10.867,0 days 00:40:48.482000,63,2142.9355551288872,0 days 00:00:05.106000,8639.6811696,120.078124,3,0.0,False,0,pos,334.36634245528865,0.07863316395637054,OnTrack,1954.0,6698.0,549.0
2026-08-21 14:57:10.936,0 days 00:40:48.551000,63,2142.475555555554,0 days 00:00:05.175000,8553.0,119.0,3,0.0,False,0,car,336.5975,0.0791578668189179,OnTrack,1982.9242902325068,6691.757463805575,548.8746257363898
2026-08-21 14:57:11.147,0 days 00:40:48.762000,63,2141.420555235554,0 days 00:00:05.386000,8484.4249792,114.47857005714286,3,15.071433142857142,False,0,pos,343.2503890199697,0.08072243132995496,OnTrack,2083.0,6658.0,548.0
2026-08-21 14:57:11.216,0 days 00:40:48.831000,63,2141.075555555554,0 days 00:00:05.455000,8462.0,113.0,3,20.0,False,0,car,345.3863888888889,0.0812247558960885,OnTrack,2106.744957801158,6647.210782333511,547.707169065871
2026-08-21 14:57:11.536,0 days 00:40:49.151000,63,2139.9199999999983,0 days 00:00:05.775000,8479.0,110.0,3,25.0,False,0,car,355.1641666666667,0.08352420265703685,OnTrack,2160.6784338683747,6601.21573189995,546.402770300732
2026-08-21 14:57:11.627,0 days 00:40:49.242000,63,2139.5913886577764,0 days 00:00:05.866000,8556.3500544,110.5687504,3,34.6687568,False,0,pos,357.9657734768478,0.08418305846778792,OnTrack,2173.0,6587.0,546.0
2026-08-21 14:57:11.696,0 days 00:40:49.311000,63,2139.342222222221,0 days 00:00:05.935000,8615.0,111.0,3,42.0,False,0,car,360.0975,0.0846843780682426,OnTrack,2182.9709383906256,6575.628400542757,545.6799560923336
2026-08-21 14:57:11.847,0 days 00:40:49.462000,63,2138.8388886755542,0 days 00:00:06.086000,8641.4250112,111.9437504,3,48.6062528,False,0,pos,364.79140791051935,0.08578824763721193,OnTrack,2208.0,6542.0,545.0
2026-08-21 14:57:11.856,0 days 00:40:49.471000,63,2138.8088888888874,0 days 00:00:06.095000,8643.0,112.0,3,49.0,False,0,car,365.0752777777778,0.08585500551017992,OnTrack,2209.7196892222382,6539.147782967809,544.9647050713397
2026-08-21 14:57:12.137,0 days 00:40:49.752000,63,2137.872222222221,0 days 00:00:06.376000,9028.0,117.0,3,53.0,False,0,car,374.2077777777778,0.08800270184994409,OnTrack,2268.4994865952212,6419.493732403259,544.0964614033057
2026-08-21 14:57:12.168,0 days 00:40:49.783000,63,2137.7516664177765,0 days 00:00:06.407000,9067.967939657143,117.55357257142857,3,54.21785965714286,False,0,pos,375.2378320109775,0.08824494041620762,OnTrack,2273.0,6409.0,544.0
2026-08-21 14:57:12.417,0 days 00:40:50.032000,63,2136.783333333332,0 days 00:00:06.656000,9389.0,122.0,3,64.0,False,0,car,383.69666666666666,0.09023421041113713,OnTrack,2287.4566606202015,6361.415840522288,543.1685814944233
2026-08-21 14:57:12.528,0 days 00:40:50.143000,63,2136.289999715554,0 days 00:00:06.767000,9625.631954618182,124.7750016,3,66.27045585454546,False,0,pos,387.63499258249925,0.09116038923996078,OnTrack,2290.0,6336.0,543.0
2026-08-21 14:57:12.708,0 days 00:40:50.323000,63,2135.489999715554,0 days 00:00:06.947000,10009.359227345454,129.2750016,3,69.95227403636363,False,0,pos,394.257885643582,0.09271789958060539,OnTrack,2295.0,6273.0,543.0
2026-08-21 14:57:12.857,0 days 00:40:50.472000,63,2134.827777777776,0 days 00:00:07.096000,10327.0,133.0,3,73.0,False,0,car,399.95222222222225,0.09405704065121376,OnTrack,2295.2377256800805,6220.558291053,542.4591596306327
2026-08-21 14:57:12.988,0 days 00:40:50.603000,63,2134.0272218311097,0 days 00:00:07.227000,10671.239057066667,137.3666688,3,77.00277973333333,False,0,pos,405.11536223895905,0.09527125985905778,OnTrack,2290.0,6168.0,542.0
2026-08-21 14:57:13.217,0 days 00:40:50.832000,63,2132.627777777777,0 days 00:00:07.456000,11273.0,145.0,3,84.0,False,0,car,414.45222222222225,0.09746701567739283,OnTrack,2268.050039707455,6054.643919118044,542.0120772001135
2026-08-21 14:57:13.228,0 days 00:40:50.843000,63,2132.55749959111,0 days 00:00:07.467000,11302.268027428572,145.31428754285713,3,84.62857508571429,False,0,pos,414.908806139045,0.09757439083282182,OnTrack,2267.0,6050.0,542.0
2026-08-21 14:57:13.497,0 days 00:40:51.112000,63,2130.8388888888876,0 days 00:00:07.736000,12018.0,153.0,3,100.0,False,0,car,426.3522222222222,0.10026554690577426,OnTrack,2243.2241287548136,5962.9280207541715,541.0474287253876
2026-08-21 14:57:13.508,0 days 00:40:51.123000,63,2130.7563884088877,0 days 00:00:07.747000,12036.37010688,153.49500288,3,100.0,False,0,pos,426.83572801688666,0.1003792532978307,OnTrack,2242.0,5959.0,541.0
2026-08-21 14:57:13.697,0 days 00:40:51.312000,63,2129.3388888888876,0 days 00:00:07.936000,12352.0,162.0,3,100.0,False,0,car,435.3522222222222,0.10238208312891989,OnTrack,2215.82573789075,5878.40469107967,540.0771181622462
2026-08-21 14:57:13.708,0 days 00:40:51.323000,63,2129.2533328355544,0 days 00:00:07.947000,12289.666304,162.458336,3,100.0,False,0,pos,435.8596222588,0.10250140874636904,OnTrack,2214.0,5873.0,540.0
2026-08-21 14:57:13.937,0 days 00:40:51.552000,63,2127.4722222222213,0 days 00:00:08.176000,10992.0,172.0,3,100.0,False,0,car,446.8188888888889,0.1050787070576684,OnTrack,2168.673964067544,5744.06824145295,537.6298101342785
2026-08-21 14:57:14.087,0 days 00:40:51.702000,63,2125.8472208355547,0 days 00:00:08.326000,11446.375387733333,183.2500096,3,100.0,False,0,pos,454.652650272511,0.10692097813899236,OnTrack,2137.0,5659.0,536.0
2026-08-21 14:57:14.177,0 days 00:40:51.792000,63,2124.8722222222214,0 days 00:00:08.416000,11719.0,190.0,4,100.0,False,0,car,459.4855555555556,0.10805753581616967,OnTrack,2118.8155706171797,5612.337516498144,535.1938916637755
2026-08-21 14:57:14.337,0 days 00:40:51.952000,63,2123.183333333332,0 days 00:00:08.576000,12068.0,196.0,4,100.0,False,0,car,468.1966666666667,0.11010613383956,OnTrack,2087.9551918880406,5537.296335083389,534.0665617242333
2026-08-21 14:57:14.507,0 days 00:40:52.122000,63,2121.1999985066655,0 days 00:00:08.746000,11387.999488,203.28571977142857,4,100.0,False,0,pos,477.9220783622831,0.11239326563275737,OnTrack,2056.0,5464.0,533.0
2026-08-21 14:57:14.617,0 days 00:40:52.232000,63,2119.916666666665,0 days 00:00:08.856000,10948.0,208.0,4,100.0,False,0,car,484.37444444444446,0.11391067302585633,OnTrack,2035.5143045429477,5419.089619976667,532.3170844429887
2026-08-21 14:57:14.897,0 days 00:40:52.512000,63,2116.96111111111,0 days 00:00:09.136000,10963.0,215.0,5,100.0,False,0,car,501.09666666666664,0.11784324958861456,OnTrack,1979.2050433001698,5297.41225284266,531.0282476845218
2026-08-21 14:57:14.927,0 days 00:40:52.542000,63,2116.669443199999,0 days 00:00:09.166000,10999.3751552,215.82500352,5,100.0,False,0,pos,502.92978214554523,0.11827434462330963,OnTrack,1972.0,5281.0,531.0
2026-08-21 14:57:14.967,0 days 00:40:52.582000,63,2116.28055431111,0 days 00:00:09.206000,11047.8751552,216.92500352,5,100.0,False,0,pos,505.3882387144469,0.11885250155454416,OnTrack,1962.0,5258.0,531.0
2026-08-21 14:57:15.297,0 days 00:40:52.912000,63,2113.0722222222216,0 days 00:00:09.536000,11448.0,226.0,5,100.0,False,0,car,526.2077777777778,0.12374864695195917,OnTrack,1871.2820420334288,5046.354935062903,532.5897789658733
2026-08-21 14:57:15.347,0 days 00:40:52.962000,63,2112.586109866666,0 days 00:00:09.586000,11508.50015488,227.75000448,5,100.0,False,0,pos,529.4236852061061,0.12450493412555251,OnTrack,1860.0,5017.0,533.0
2026-08-21 14:57:15.497,0 days 00:40:53.112000,63,2111.127777777777,0 days 00:00:09.736000,11690.0,233.0,5,100.0,False,0,car,539.1522222222222,0.1267928009025328,OnTrack,1832.9307974486535,4938.035272636381,534.4058858093842
2026-08-21 14:57:15.587,0 days 00:40:53.202000,63,2110.3277766399992,0 days 00:00:09.826000,11767.0626096,234.406252,5,100.0,False,0,pos,545.0380807218504,0.12817698231572977,OnTrack,1819.0,4895.0,535.0
2026-08-21 14:57:15.817,0 days 00:40:53.432000,63,2108.283333333333,0 days 00:00:10.056000,11964.0,238.0,5,100.0,False,0,car,560.3077777777777,0.13176796753076647,OnTrack,1785.664274024428,4788.460351048768,534.8066763526914
2026-08-21 14:57:15.947,0 days 00:40:53.562000,63,2106.8749986133325,0 days 00:00:10.186000,12040.3750752,240.8437528,5,100.0,False,0,pos,569.1548869863776,0.1338485483207806,OnTrack,1774.0,4665.0,534.0
2026-08-21 14:57:16.067,0 days 00:40:53.682000,63,2105.5749986133324,0 days 00:00:10.306000,12110.8750752,243.4687528,5,100.0,False,0,pos,577.3729381953352,0.13578119310605,OnTrack,1770.0,4501.0,533.0
2026-08-21 14:57:16.137,0 days 00:40:53.752000,63,2104.8166666666657,0 days 00:00:10.376000,12152.0,245.0,5,100.0,False,0,car,582.0855555555555,0.13688946258924234,OnTrack,1769.7647367075874,4433.996208013926,532.3596022815261
2026-08-21 14:57:16.427,0 days 00:40:54.042000,63,2104.897222257777,0 days 00:00:10.666000,11964.94991744,233.39999488,5,27.499968000000003,False,0,pos,600.8738016593311,0.14130790741679963,OnTrack,1781.0,4336.0,530.0
2026-08-21 14:57:16.537,0 days 00:40:54.152000,63,2104.927777777777,0 days 00:00:10.776000,11894.0,229.0,5,0.0,True,0,car,607.53,0.1428732501830738,OnTrack,1788.2400358564373,4269.192447934646,529.743147230091
2026-08-21 14:57:16.627,0 days 00:40:54.242000,63,2105.9277791999993,0 days 00:00:10.866000,11809.113515636363,222.45453614545454,5,0.0,True,0,pos,612.7443996260009,0.14409952414867247,OnTrack,1794.0,4208.0,530.0
2026-08-21 14:57:16.827,0 days 00:40:54.442000,63,2108.1500014222215,0 days 00:00:11.066000,11620.477152,207.9090816,5,0.0,True,0,pos,623.643052264568,0.14666256782567344,OnTrack,1802.0,4086.0,532.0
2026-08-21 14:57:16.977,0 days 00:40:54.592000,63,2109.816666666666,0 days 00:00:11.216000,11479.0,197.0,4,0.0,True,0,car,631.6077777777778,0.1485356378319091,OnTrack,1800.16742201662,4004.3111565878507,532.9120723884196
2026-08-21 14:57:17.087,0 days 00:40:54.702000,63,2111.4055567648907,0 days 00:00:11.326000,11216.106718145724,191.46540459254155,4,0.0,True,0,pos,637.4098114623644,0.14990010610539115,OnTrack,1794.0,3948.0,534.0
