Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,SessionTime_seconds,Time_seconds
2026-07-25 14:38:26.065,0 days 00:51:37.650000,,568.6333333333332,0 days 00:00:00,11027.444444444443,284.0,7,100.0,False,0,interpolation,0.35431699810907163,8.10755342910252e-05,OnTrack,-1503.2974600277248,-97.75479933916839,2387.999999998146,3097.65,0.0
2026-07-25 14:38:26.255,0 days 00:51:37.840000,,568.6333333333332,0 days 00:00:00.190000,11170.472318577778,288.7500032,7,100.0,False,0,pos,15.647791537162352,0.003580559403360829,OnTrack,-1620.0,-2.0,2388.0,3097.84,0.19
2026-07-25 14:38:26.265,0 days 00:51:37.850000,,568.6333333333332,0 days 00:00:00.200000,11178.0,289.0,7,100.0,False,0,car,16.45555555555555,0.003765393604716683,OnTrack,-1625.9847837427592,2.832146682691801,2388.0000000020673,3097.85,0.2
2026-07-25 14:38:26.425,0 days 00:51:38.010000,10,568.6333333333332,0 days 00:00:00.360000,11287.0,292.0,7,100.0,False,0,car,29.433333333333323,0.006734995043142805,OnTrack,-1722.5687148225293,80.1478860551807,2388.000000034857,3098.01,0.36
2026-07-25 14:38:26.475,0 days 00:51:38.060000,10,565.9249930666665,0 days 00:00:00.410000,11342.0001408,293.04166933333335,7,100.0,False,0,pos,33.52322333601133,0.007670851970493961,OnTrack,-1758.0,109.0,2388.0,3098.06,0.41
2026-07-25 14:38:26.665,0 days 00:51:38.250000,10,555.6333333333331,0 days 00:00:00.600000,11551.0,297.0,7,100.0,False,0,car,49.23333333333332,0.011265671210330605,OnTrack,-1914.4809387501211,238.7850467546511,2387.9999999471625,3098.25,0.6
2026-07-25 14:38:26.675,0 days 00:51:38.260000,10,555.0472147199997,0 days 00:00:00.610000,11522.3329664,297.1944469333333,7,100.0,False,0,pos,50.06756756328332,0.01145656237919357,OnTrack,-1922.0,245.0,2388.0,3098.26,0.61
2026-07-25 14:38:27.025,0 days 00:51:38.610000,10,534.5333333333331,0 days 00:00:00.960000,10519.0,304.0,7,100.0,False,0,car,79.63333333333333,0.018221860881164398,OnTrack,-2114.3939454769775,401.17764235292987,2388.000002695724,3098.61,0.96
2026-07-25 14:38:27.095,0 days 00:51:38.680000,10,530.3333256533331,0 days 00:00:01.030000,10571.500096,305.05000192,7,100.0,False,0,pos,85.58456881036992,0.019583634655969052,OnTrack,-2156.0,436.0,2388.0,3098.68,1.03
2026-07-25 14:38:27.155,0 days 00:51:38.740000,10,526.733325653333,0 days 00:00:01.090000,10616.500096,305.95000192,7,100.0,False,0,pos,90.69417964532283,0.020752826172813793,OnTrack,-2195.0,469.0,2388.0,3098.74,1.09
2026-07-25 14:38:27.225,0 days 00:51:38.810000,10,522.5333333333331,0 days 00:00:01.160000,10669.0,307.0,8,100.0,False,0,car,96.68888888888887,0.02212454770306859,OnTrack,-2241.5697567299526,507.94147145367094,2388.000031245145,3098.81,1.16
2026-07-25 14:38:27.475,0 days 00:51:39.060000,10,506.9083253333331,0 days 00:00:01.410000,10787.055616,311.8611136,8,100.0,False,0,pos,118.41512778586437,0.027095989762318872,OnTrack,-2407.0,643.0,2388.0,3099.06,1.41
2026-07-25 14:38:27.585,0 days 00:51:39.170000,10,500.0333333333331,0 days 00:00:01.520000,10839.0,314.0,8,100.0,False,0,car,128.08888888888887,0.029309559402548233,OnTrack,-2473.3505914116913,697.1211292564728,2387.999500138531,3099.17,1.52
2026-07-25 14:38:27.695,0 days 00:51:39.280000,10,493.127769742222,0 days 00:00:01.630000,10892.777840355555,315.83333546666665,8,100.0,False,0,pos,137.81634776966106,0.03153541627721561,OnTrack,-2556.0,765.0,2388.0,3099.28,1.63
2026-07-25 14:38:27.875,0 days 00:51:39.460000,10,481.82776974222196,0 days 00:00:01.810000,10980.777840355555,318.83333546666665,8,100.0,False,0,pos,153.8367338513507,0.03520123352011754,OnTrack,-2746.0,922.0,2388.0,3099.46,1.81
2026-07-25 14:38:27.945,0 days 00:51:39.530000,10,477.43333333333305,0 days 00:00:01.880000,11015.0,320.0,8,100.0,False,0,car,160.08888888888887,0.03663186431921538,OnTrack,-2801.9767152899108,968.1675372225997,2387.9913157873743,3099.53,1.88
2026-07-25 14:38:28.186,0 days 00:51:39.771000,10,462.504722222222,0 days 00:00:02.121000,11159.0,323.0,8,100.0,False,0,car,181.71194444444444,0.041579695756959495,OnTrack,-2907.0718926841687,1054.1047432274902,2387.9635155771084,3099.771,2.121
2026-07-25 14:38:28.255,0 days 00:51:39.840000,10,458.26887710222195,0 days 00:00:02.190000,11190.74008832,324.03500288,8,100.0,False,0,pos,187.94172776580513,0.04300520741457732,OnTrack,-2940.0,1081.0,2388.0,3099.84,2.19
2026-07-25 14:38:28.386,0 days 00:51:39.971000,10,450.2269444444442,0 days 00:00:02.321000,11251.0,326.0,8,100.0,False,0,car,199.82305555555558,0.045723916942434314,OnTrack,-3016.735548917439,1143.7905622082387,2388.14062114283,3099.971,2.321
