Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,SessionTime_seconds,Time_seconds
2026-07-26 14:25:50.973,0 days 02:16:40.631000,,222.38777777777773,0 days 00:00:00,11293.0,188.375,4,24.0,False,0,interpolation,0.05503023440092416,1.3257040863676636e-05,OnTrack,-1140.5707736179897,-389.8631319682138,2336.7714202682296,8200.631,0.0
2026-07-26 14:25:51.162,0 days 02:16:40.820000,,222.38777777777773,0 days 00:00:00.189000,11378.0499712,189.5562496,4,46.04999253333333,False,0,pos,10.088978005459612,0.002430481991348484,OnTrack,-1305.0,-254.0,2339.0,8200.82,0.189
2026-07-26 14:25:51.393,0 days 02:16:41.051000,,222.38777777777773,0 days 00:00:00.420000,11482.0,191.0,4,73.0,False,0,car,22.33333333333333,0.005380204461153115,OnTrack,-1317.3127183854338,-243.82635557118988,2340.5029604092915,8201.051,0.42
2026-07-26 14:25:51.502,0 days 02:16:41.160000,,222.38777777777773,0 days 00:00:00.529000,11482.0,191.0,4,73.0,False,0,pos,28.103583850143014,0.006770284800220751,OnTrack,-1305.0,-254.0,2341.0,8201.16,0.529
2026-07-26 14:25:51.722,0 days 02:16:41.380000,,222.38777777777773,0 days 00:00:00.749000,11482.0,191.0,4,73.0,False,0,pos,39.75531413239766,0.009577241124612062,OnTrack,-1305.0,-254.0,2342.0,8201.38,0.749
2026-07-26 14:25:51.833,0 days 02:16:41.491000,18,222.38777777777773,0 days 00:00:00.860000,11482.0,191.0,4,73.0,False,0,car,45.67777777777778,0.011003990318308687,OnTrack,-1305.59734042526,-253.50643481553857,2342.7038425324927,8201.491,0.86
2026-07-26 14:25:52.002,0 days 02:16:41.660000,18,221.44888924444442,0 days 00:00:01.029000,11390.927812266667,192.4083328,4,79.10277546666667,False,0,pos,54.76440718776564,0.013193001844657723,OnTrack,-1305.0,-254.0,2344.0,8201.66,1.029
2026-07-26 14:25:52.122,0 days 02:16:41.780000,18,220.7822225777778,0 days 00:00:01.149000,11326.2611456,193.4083328,4,83.4361088,False,0,pos,61.24645068852611,0.01475455644287474,OnTrack,-1305.0,-254.0,2345.0,8201.78,1.149
2026-07-26 14:25:52.193,0 days 02:16:41.851000,18,220.38777777777779,0 days 00:00:01.220000,11288.0,194.0,4,86.0,False,0,car,65.07777777777778,0.015677541059190947,OnTrack,-1305.0100872035155,-253.99166518584363,2345.6559268464357,8201.851,1.22
2026-07-26 14:25:52.322,0 days 02:16:41.980000,18,219.6711114666667,0 days 00:00:01.349000,10667.187808,194.0,4,91.64374719999999,False,0,pos,72.03127904447231,0.017352672038401563,OnTrack,-1305.0,-254.0,2347.0,8201.98,1.349
2026-07-26 14:25:52.513,0 days 02:16:42.171000,18,218.61000000000004,0 days 00:00:01.540000,9748.0,194.0,4,100.0,False,0,car,82.32222222222222,0.01983180838441962,OnTrack,-1304.9994436542124,-254.00046051822142,2349.320672101149,8202.171,1.54
2026-07-26 14:25:52.582,0 days 02:16:42.240000,18,218.22666560000005,0 days 00:00:01.609000,9748.0,194.0,4,100.0,False,0,pos,86.04388722132056,0.020728374890288257,OnTrack,-1305.0,-254.0,2350.0,8202.24,1.609
2026-07-26 14:25:52.673,0 days 02:16:42.331000,18,217.72111111111116,0 days 00:00:01.700000,9748.0,194.0,4,100.0,False,0,car,90.94444444444444,0.021908942047033957,OnTrack,-1304.9993634364746,-254.0005233481524,2350.648466520575,8202.331,1.7
2026-07-26 14:25:53.003,0 days 02:16:42.661000,18,215.88777677406475,0 days 00:00:02.030000,9863.212033151047,194.0,4,100.0,False,0,pos,108.63730333875428,0.026171234510633284,OnTrack,-1305.0,-254.0,2352.0,8202.661,2.03
