Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,SessionTime_seconds,Time_seconds
2026-07-26 14:10:21.000,0 days 02:01:10.658000,,686.9483333333334,0 days 00:00:00,10813.25056,190.59376319999998,5,57.5937888,True,0,interpolation,-1.1924280794447892,-0.0002881433238710325,OnTrack,-1058.136672141068,-457.9760547986984,2278.7982685447387,7270.658,0.0
2026-07-26 14:10:21.022,0 days 02:01:10.680000,,686.9483333333334,0 days 00:00:00.022000,10717.0,188.325,5,50.925,True,0,pos,-0.14745496762701163,-3.563163701506034e-05,OnTrack,-1069.0,-449.0,2279.0,7270.68,0.022
2026-07-26 14:10:21.190,0 days 02:01:10.848000,,686.9483333333334,0 days 00:00:00.190000,9982.0,171.0,5,0.0,True,0,car,7.833333333333335,0.0018928795309041799,OnTrack,-1210.7885585110764,-331.84419953529044,2280.1269424367074,7270.848,0.19
2026-07-26 14:10:21.322,0 days 02:01:10.980000,,686.9483333333334,0 days 00:00:00.322000,9888.657323885715,171.0,5,0.0,True,0,pos,14.105163007240133,0.0034084307663580877,OnTrack,-1305.0,-254.0,2281.0,7270.98,0.322
2026-07-26 14:10:21.470,0 days 02:01:11.128000,6,686.9483333333334,0 days 00:00:00.470000,9784.0,171.0,5,0.0,True,0,car,21.133333333333333,0.005106747330184042,OnTrack,-1312.3652638291546,-247.91429471763007,2282.3974344334088,7271.128,0.47
2026-07-26 14:10:21.542,0 days 02:01:11.200000,6,685.7483333333334,0 days 00:00:00.542000,9784.0,171.0,5,0.0,True,0,pos,24.548743237193655,0.0059320613084816514,OnTrack,-1305.0,-254.0,2283.0,7271.2,0.542
2026-07-26 14:10:21.670,0 days 02:01:11.328000,6,683.6150000000001,0 days 00:00:00.670000,9784.0,171.0,5,0.0,True,0,car,30.633333333333336,0.007402367186812516,OnTrack,-1301.141563609111,-257.18811481334876,2283.7062766420927,7271.328,0.67
2026-07-26 14:10:21.842,0 days 02:01:11.500000,6,680.7483376000001,0 days 00:00:00.842000,9784.0,171.0,5,0.0,True,0,pos,38.8638296308209,0.009391218842646157,OnTrack,-1305.0,-254.0,2284.0,7271.5,0.842
2026-07-26 14:10:21.910,0 days 02:01:11.568000,6,679.6150000000001,0 days 00:00:00.910000,9784.0,171.0,5,0.0,True,0,car,42.03333333333334,0.010157111014766684,OnTrack,-1305.5516310405817,-253.54420316867785,2283.941005553961,7271.568,0.91
2026-07-26 14:10:22.070,0 days 02:01:11.728000,6,677.3483333333335,0 days 00:00:01.070000,9784.0,162.0,5,0.0,True,0,car,49.23333333333334,0.011896949221895632,OnTrack,-1305.1098697180005,-253.9092178251349,2283.75893879544,7271.728,1.07
2026-07-26 14:10:22.122,0 days 02:01:11.780000,6,676.6116702933335,0 days 00:00:01.122000,10147.998208,162.0,5,0.0,True,0,pos,51.56583790710182,0.012460585412971384,OnTrack,-1305.0,-254.0,2284.0,7271.78,1.122
2026-07-26 14:10:22.242,0 days 02:01:11.900000,6,674.9116702933335,0 days 00:00:01.242000,10987.998208,162.0,5,0.0,True,0,pos,56.96983891710078,0.013766430889160219,OnTrack,-1305.0,-254.0,2285.0,7271.9,1.242
2026-07-26 14:10:22.310,0 days 02:01:11.968000,6,673.9483333333335,0 days 00:00:01.310000,11464.0,162.0,4,0.0,True,0,car,60.03333333333334,0.014506706532589054,OnTrack,-1305.0111574310074,-253.9907810344276,2285.2274606192655,7271.968,1.31
2026-07-26 14:10:22.462,0 days 02:01:12.120000,6,671.7950000000001,0 days 00:00:01.462000,11604.057142857142,162.0,4,0.0,True,0,pos,66.87467539726534,0.01615987713132062,OnTrack,-1305.0,-254.0,2285.0,7272.12,1.462
2026-07-26 14:10:22.590,0 days 02:01:12.248000,6,669.9816666666667,0 days 00:00:01.590000,11722.0,162.0,3,0.0,True,0,car,72.63333333333334,0.017551423395064714,OnTrack,-1304.998055478781,-254.00160526010924,2284.9655724333966,7272.248,1.59
2026-07-26 14:10:22.682,0 days 02:01:12.340000,6,668.67833696,0 days 00:00:01.682000,11722.0,162.0,3,0.0,True,0,pos,76.77311555119182,0.018551777738373496,OnTrack,-1305.0,-254.0,2285.0,7272.34,1.682
