Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,SessionTime_seconds,Time_seconds
2026-07-26 13:36:42.311,0 days 01:27:31.969000,,19.675555555555555,0 days 00:00:00,10778.0,79.0,1,53.0,True,0,interpolation,-0.0003057877387973055,-7.37856304799935e-08,OnTrack,-1266.6211563714012,-285.7113326587473,2051.0,5251.969,0.0
2026-07-26 13:36:42.441,0 days 01:27:32.099000,,19.675555555555555,0 days 00:00:00.130000,10778.0,79.0,1,53.0,True,0,pos,2.851020693380078,0.0006879424276456719,OnTrack,-1305.0,-254.0,2051.0,5252.099,0.13
2026-07-26 13:36:42.503,0 days 01:27:32.161000,,19.675555555555555,0 days 00:00:00.192000,10778.0,79.0,1,53.0,True,0,car,4.213333333333333,0.001016664231355459,OnTrack,-1310.3128092342502,-249.61017881107094,2051.0,5252.161,0.192
2026-07-26 13:36:42.641,0 days 01:27:32.299000,,19.675555555555555,0 days 00:00:00.330000,10778.0,79.0,1,53.0,True,0,pos,7.251227465411471,0.0017496986386486106,OnTrack,-1305.0,-254.0,2051.0,5252.299,0.33
2026-07-26 13:36:42.801,0 days 01:27:32.459000,,19.675555555555555,0 days 00:00:00.490000,10778.0,79.0,1,53.0,True,0,pos,10.757822529603164,0.0025958291233664807,OnTrack,-1305.0,-254.0,2051.0,5252.459,0.49
2026-07-26 13:36:42.823,0 days 01:27:32.481000,12,19.675555555555555,0 days 00:00:00.512000,10778.0,79.0,1,53.0,True,0,car,11.235555555555555,0.0027111046169478905,OnTrack,-1305.0722789493946,-253.94027798968642,2051.0,5252.481,0.512
2026-07-26 13:36:42.961,0 days 01:27:32.619000,12,19.675555555555558,0 days 00:00:00.650000,10778.0,79.0,1,53.0,True,0,pos,14.243880793885298,0.0034370041421283655,OnTrack,-1305.0,-254.0,2051.0,5252.619,0.65
2026-07-26 13:36:42.983,0 days 01:27:32.641000,12,19.675555555555558,0 days 00:00:00.672000,10778.0,79.0,1,53.0,True,0,car,14.746666666666666,0.0035583248097441063,OnTrack,-1304.9823748089727,-254.01456317030605,2051.0,5252.641,0.672
2026-07-26 13:36:43.183,0 days 01:27:32.841000,12,19.23111111111111,0 days 00:00:00.872000,10778.0,88.0,1,53.0,False,0,car,19.635555555555555,0.004737998495916052,OnTrack,-1304.9857032963603,-254.011812689153,2051.0,5252.841,0.872
2026-07-26 13:36:43.261,0 days 01:27:32.919000,12,19.057778062222223,0 days 00:00:00.950000,10778.0,88.0,1,53.0,False,0,pos,21.550161888634783,0.005199987050338905,OnTrack,-1305.0,-254.0,2051.0,5252.919,0.95
2026-07-26 13:36:43.383,0 days 01:27:33.041000,12,18.786666666666665,0 days 00:00:01.072000,10778.0,88.0,1,53.0,False,0,car,24.524444444444445,0.005917672182087999,OnTrack,-1305.001142745029,-253.99905641001948,2050.9999999999995,5253.041,1.072
2026-07-26 13:36:43.421,0 days 01:27:33.079000,12,18.702222506666665,0 days 00:00:01.110000,10778.0,88.0,1,53.0,False,0,pos,25.452948134090487,0.006141717235081202,OnTrack,-1305.0,-254.0,2051.0,5253.079,1.11
2026-07-26 13:36:43.521,0 days 01:27:33.179000,12,18.48000028444444,0 days 00:00:01.210000,10778.0,88.0,1,53.0,False,0,pos,27.89863362913366,0.00673185353981742,OnTrack,-1305.0,-254.0,2051.0,5253.179,1.21
2026-07-26 13:36:43.543,0 days 01:27:33.201000,12,18.431111111111107,0 days 00:00:01.232000,10778.0,88.0,1,53.0,False,0,car,28.435555555555553,0.0068614111310255545,OnTrack,-1305.0017110362141,-253.99858957607958,2051.0000000000005,5253.201,1.232
2026-07-26 13:36:43.780,0 days 01:27:33.438000,12,17.904444586666663,0 days 00:00:01.469000,10778.0,88.0,1,53.0,False,0,pos,34.202348923754556,0.008252920438082312,OnTrack,-1305.0,-254.0,2051.0,5253.438,1.469
2026-07-26 13:36:43.863,0 days 01:27:33.521000,12,17.72,0 days 00:00:01.552000,10778.0,88.0,1,53.0,False,0,car,36.257777777777775,0.00874888902890067,OnTrack,-1304.9289398631886,-254.0585698301319,2050.9999999999995,5253.521,1.552
2026-07-26 13:36:44.703,0 days 01:27:34.361000,12,14.45333333333334,0 days 00:00:02.392000,11370.0,94.0,1,58.0,False,0,car,58.191111111111105,0.014041334157317535,OnTrack,-1303.9109541409211,-254.89762106962903,2051.0000000000005,5254.361,2.392
2026-07-26 13:36:44.860,0 days 01:27:34.518000,12,13.842778026666672,0 days 00:00:02.549000,11370.0,94.0,1,58.0,False,0,pos,62.185548375858424,0.015005179448012615,OnTrack,-1305.0,-254.0,2051.0,5254.518,2.549
2026-07-26 13:36:45.023,0 days 01:27:34.681000,12,13.208888888888893,0 days 00:00:02.712000,11370.0,94.0,1,58.0,False,0,car,66.54666666666667,0.016057503730047773,OnTrack,-1306.755259574877,-252.55326761631798,2051.0,5254.681,2.712
2026-07-26 13:36:45.240,0 days 01:27:34.898000,12,11.4005560888889,0 days 00:00:02.929000,10990.250112,104.8499968,1,64.781248,False,0,pos,73.12799841288559,0.017645558614794197,OnTrack,-1305.0,-254.0,2051.0,5254.898,2.929
2026-07-26 13:36:45.343,0 days 01:27:35.001000,12,10.542222222222236,0 days 00:00:03.032000,10810.0,110.0,2,68.0,False,0,car,76.32444444444444,0.018416851102391663,OnTrack,-1303.1157929184135,-255.55301439259236,2050.9999999999995,5255.001,3.032
